Time,Dun Laoghaire @ Peoples Park Pedestrian,Dun Laoghaire @ Peoples Park Peds IN,Dun Laoghaire @ Peoples Park Peds OUT,Dun Laoghaire @ Seapoint Beach Pedestrian,Dun Laoghaire @ Seapoint Beach Peds IN,Dun Laoghaire @ Seapoint Beach Peds OUT,Dun Laoghaire @ York Road Pedestrian,Dun Laoghaire @ York Road Peds IN,Dun Laoghaire @ York Road Peds OUT,Glenageary Pedestrian,Glenageary Peds IN,Glenageary Peds OUT,Rock Road Park - New Counter Pedestrian,Rock Road Park - New Counter Peds IN,Rock Road Park - New Counter Peds OUT,Wyattville Rd At Park Gates Pedestrian,Wyattville Rd At Park Gates Peds IN,Wyattville Rd At Park Gates Peds OUT,Wyattville Road At Steps Pedestrian,Wyattville Road At Steps Peds IN,Wyattville Road At Steps Peds OUT
"Nov 15, 2010 12:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 1:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 2:00 AM",,,,,,,,,,10,4,6,,,,,,,,,
"Nov 15, 2010 3:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 4:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 5:00 AM",,,,,,,,,,1,1,0,,,,,,,,,
"Nov 15, 2010 6:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 7:00 AM",,,,,,,,,,29,15,14,,,,,,,,,
"Nov 15, 2010 8:00 AM",,,,,,,,,,13,4,9,,,,,,,,,
"Nov 15, 2010 9:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 10:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 11:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 12:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 1:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 2:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 3:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 4:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 5:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Nov 15, 2010 6:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
