Time,Dun Laoghaire @ Peoples Park Pedestrian,Dun Laoghaire @ Peoples Park Peds IN,Dun Laoghaire @ Peoples Park Peds OUT,Dun Laoghaire @ Seapoint Beach Pedestrian,Dun Laoghaire @ Seapoint Beach Peds IN,Dun Laoghaire @ Seapoint Beach Peds OUT,Dun Laoghaire @ York Road Pedestrian,Dun Laoghaire @ York Road Peds IN,Dun Laoghaire @ York Road Peds OUT,Glenageary Pedestrian,Glenageary Peds IN,Glenageary Peds OUT,Rock Road Park - New Counter Pedestrian,Rock Road Park - New Counter Peds IN,Rock Road Park - New Counter Peds OUT,Wyattville Rd At Park Gates Pedestrian,Wyattville Rd At Park Gates Peds IN,Wyattville Rd At Park Gates Peds OUT,Wyattville Road At Steps Pedestrian,Wyattville Road At Steps Peds IN,Wyattville Road At Steps Peds OUT
"Jan 1, 2018 12:00 AM",,,,,,,,,,3,2,1,,,,,,,,,
"Jan 1, 2018 1:00 AM",,,,,,,,,,5,3,2,,,,,,,,,
"Jan 1, 2018 2:00 AM",,,,,,,,,,1,0,1,,,,,,,,,
"Jan 1, 2018 3:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 1, 2018 4:00 AM",,,,,,,,,,2,1,1,,,,,,,,,
"Jan 1, 2018 5:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 1, 2018 6:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 1, 2018 7:00 AM",,,,,,,,,,3,2,1,,,,,,,,,
"Jan 1, 2018 8:00 AM",,,,,,,,,,3,1,2,,,,,,,,,
"Jan 1, 2018 9:00 AM",,,,,,,,,,11,4,7,,,,,,,,,
"Jan 1, 2018 10:00 AM",,,,,,,,,,16,7,9,,,,,,,,,
"Jan 1, 2018 11:00 AM",,,,,,,,,,25,16,9,,,,,,,,,
"Jan 1, 2018 12:00 PM",,,,,,,,,,32,20,12,,,,,,,,,
"Jan 1, 2018 1:00 PM",,,,,,,,,,21,13,8,,,,,,,,,
"Jan 1, 2018 2:00 PM",,,,,,,,,,38,28,10,,,,,,,,,
"Jan 1, 2018 3:00 PM",,,,,,,,,,33,18,15,,,,,,,,,
"Jan 1, 2018 4:00 PM",,,,,,,,,,17,5,12,,,,,,,,,
"Jan 1, 2018 5:00 PM",,,,,,,,,,15,5,10,,,,,,,,,
"Jan 1, 2018 6:00 PM",,,,,,,,,,8,3,5,,,,,,,,,
"Jan 1, 2018 7:00 PM",,,,,,,,,,8,5,3,,,,,,,,,
"Jan 1, 2018 8:00 PM",,,,,,,,,,7,3,4,,,,,,,,,
"Jan 1, 2018 9:00 PM",,,,,,,,,,5,1,4,,,,,,,,,
"Jan 1, 2018 10:00 PM",,,,,,,,,,3,1,2,,,,,,,,,
"Jan 1, 2018 11:00 PM",,,,,,,,,,1,0,1,,,,,,,,,
"Jan 2, 2018 12:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 2, 2018 1:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 2, 2018 2:00 AM",,,,,,,,,,1,0,1,,,,,,,,,
"Jan 2, 2018 3:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 2, 2018 4:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 2, 2018 5:00 AM",,,,,,,,,,1,1,0,,,,,,,,,
"Jan 2, 2018 6:00 AM",,,,,,,,,,1,0,1,,,,,,,,,
"Jan 2, 2018 7:00 AM",,,,,,,,,,11,5,6,,,,,,,,,
"Jan 2, 2018 8:00 AM",,,,,,,,,,17,11,6,,,,,,,,,
"Jan 2, 2018 9:00 AM",,,,,,,,,,22,13,9,,,,,,,,,
"Jan 2, 2018 10:00 AM",,,,,,,,,,19,4,15,,,,,,,,,
"Jan 2, 2018 11:00 AM",,,,,,,,,,33,11,22,,,,,,,,,
"Jan 2, 2018 12:00 PM",,,,,,,,,,21,12,9,,,,,,,,,
"Jan 2, 2018 1:00 PM",,,,,,,,,,22,8,14,,,,,,,,,
"Jan 2, 2018 2:00 PM",,,,,,,,,,18,7,11,,,,,,,,,
"Jan 2, 2018 3:00 PM",,,,,,,,,,15,13,2,,,,,,,,,
"Jan 2, 2018 4:00 PM",,,,,,,,,,13,6,7,,,,,,,,,
"Jan 2, 2018 5:00 PM",,,,,,,,,,15,7,8,,,,,,,,,
"Jan 2, 2018 6:00 PM",,,,,,,,,,18,12,6,,,,,,,,,
"Jan 2, 2018 7:00 PM",,,,,,,,,,6,2,4,,,,,,,,,
"Jan 2, 2018 8:00 PM",,,,,,,,,,5,3,2,,,,,,,,,
"Jan 2, 2018 9:00 PM",,,,,,,,,,4,2,2,,,,,,,,,
"Jan 2, 2018 10:00 PM",,,,,,,,,,8,1,7,,,,,,,,,
"Jan 2, 2018 11:00 PM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 3, 2018 12:00 AM",,,,,,,,,,2,0,2,,,,,,,,,
"Jan 3, 2018 1:00 AM",,,,,,,,,,2,0,2,,,,,,,,,
"Jan 3, 2018 2:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 3, 2018 3:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 3, 2018 4:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 3, 2018 5:00 AM",,,,,,,,,,0,0,0,,,,,,,,,
"Jan 3, 2018 6:00 AM",,,,,,,,,,1,1,0,,,,,,,,,
"Jan 3, 2018 7:00 AM",,,,,,,,,,9,7,2,,,,,,,,,
"Jan 3, 2018 8:00 AM",,,,,,,,,,15,12,3,,,,,,,,,
"Jan 3, 2018 9:00 AM",,,,,,,,,,14,9,5,,,,,,,,,
"Jan 3, 2018 10:00 AM",,,,,,,,,,22,9,13,,,,,,,,,
"Jan 3, 2018 11:00 AM",,,,,,,,,,27,14,13,,,,,,,,,
"Jan 3, 2018 12:00 PM",,,,,,,,,,15,11,4,,,,,,,,,
