Time,Dun Laoghaire @ Peoples Park Pedestrian,Dun Laoghaire @ Peoples Park Peds IN,Dun Laoghaire @ Peoples Park Peds OUT,Dun Laoghaire @ Seapoint Beach Pedestrian,Dun Laoghaire @ Seapoint Beach Peds IN,Dun Laoghaire @ Seapoint Beach Peds OUT,Dun Laoghaire @ York Road Pedestrian,Dun Laoghaire @ York Road Peds IN,Dun Laoghaire @ York Road Peds OUT,Glenageary Pedestrian,Glenageary Peds IN,Glenageary Peds OUT,Rock Road Park - New Counter Pedestrian,Rock Road Park - New Counter Peds IN,Rock Road Park - New Counter Peds OUT,Wyattville Rd - Bicycles Towards N11 Pedestrian,Wyattville Rd - Bicycles Towards N11 Pedestrian IN,Wyattville Rd - Bicycles Towards N11 Pedestrian OUT,Wyattville Rd At Park Gates Pedestrian,Wyattville Rd At Park Gates Peds IN,Wyattville Rd At Park Gates Peds OUT,Wyattville Road At Steps Pedestrian,Wyattville Road At Steps Peds IN,Wyattville Road At Steps Peds OUT
"Jan 1, 2023 12:00 AM",2,2,0,1,0,1,12,4,8,,,,240,118,122,,,,14,6,8,,,
"Jan 1, 2023 1:00 AM",11,7,4,6,3,3,11,3,8,,,,745,271,474,,,,22,19,3,,,
"Jan 1, 2023 2:00 AM",2,2,0,8,4,4,10,2,8,,,,352,122,230,,,,12,5,7,,,
"Jan 1, 2023 3:00 AM",0,0,0,0,0,0,1,0,1,,,,59,25,34,,,,11,4,7,,,
"Jan 1, 2023 4:00 AM",2,2,0,3,3,0,3,2,1,,,,98,48,50,,,,5,4,1,,,
"Jan 1, 2023 5:00 AM",0,0,0,1,0,1,2,1,1,,,,14,7,7,,,,5,5,0,,,
"Jan 1, 2023 6:00 AM",3,0,3,3,2,1,0,0,0,,,,31,20,11,,,,2,1,1,,,
"Jan 1, 2023 7:00 AM",19,8,11,3,1,2,3,2,1,,,,91,43,48,,,,2,0,2,,,
"Jan 1, 2023 8:00 AM",31,14,17,16,10,6,6,5,1,,,,72,41,31,,,,9,1,8,,,
"Jan 1, 2023 9:00 AM",80,45,35,17,12,5,14,7,7,,,,265,94,171,,,,12,6,6,,,
"Jan 1, 2023 10:00 AM",192,100,92,51,31,20,35,20,15,,,,304,122,182,,,,40,19,21,,,
"Jan 1, 2023 11:00 AM",329,180,149,59,37,22,58,28,30,,,,432,191,241,,,,33,19,14,,,
"Jan 1, 2023 12:00 PM",441,251,190,86,53,33,69,28,41,,,,414,204,210,,,,46,23,23,,,
"Jan 1, 2023 1:00 PM",536,317,219,89,47,42,74,38,36,,,,940,421,519,,,,51,26,25,,,
